R	Z
0.14344898	0.003265306
0.14344898	0.0036734694
0.14344898	0.0040816325
0.14344898	0.004489796
0.14344898	0.004897959
0.14344898	0.0053061224
0.14344898	0.005714285
0.14344898	0.006122449
0.14344898	0.006530612
0.14344898	0.006938775
0.14344898	0.007346939
0.14344898	0.0077551017
0.14344898	0.008163265
0.14344898	0.008571428
0.14344898	0.008979592
0.14344898	0.009387755
0.14344898	0.009795918
0.14344898	0.010204081
0.14344898	0.010612245
0.14344898	0.011020407
0.14344898	0.01142857
0.14344898	0.011836735
0.14344898	0.012244898
0.14344898	0.012653061
0.14344898	0.013061225
0.14344898	0.013469388
0.14344898	0.013877551
0.14344898	0.014285714
0.14344898	0.014693878
0.14344898	0.01510204
0.14344898	0.015510203
0.14344898	0.015918367
0.14344898	0.01632653
0.14344898	0.016734693
0.14344898	0.017142856
0.14344898	0.01755102
0.14344898	0.017959183
0.14344898	0.018367346
0.14344898	0.01877551
0.14344898	0.019183673
0.14344898	0.019591836
0.14344898	0.02
0.14415306	0.0
0.14415306	0.00040816324
0.14415306	0.0008163265
0.14415306	0.0012244898
0.14415306	0.001632653
0.14415306	0.0020408162
0.14415306	0.0024489795
0.14415306	0.0028571426
0.14415306	0.003265306
0.14415306	0.0036734694
0.14415306	0.0040816325
0.14415306	0.004489796
0.14415306	0.004897959
0.14415306	0.0053061224
0.14415306	0.005714285
0.14415306	0.006122449
0.14415306	0.006530612
0.14415306	0.006938775
0.14415306	0.007346939
0.14415306	0.0077551017
0.14415306	0.008163265
0.14415306	0.008571428
0.14415306	0.008979592
0.14415306	0.009387755
0.14415306	0.009795918
0.14415306	0.010204081
0.14415306	0.010612245
0.14415306	0.011020407
0.14415306	0.01142857
0.14415306	0.011836735
0.14415306	0.012244898
0.14415306	0.012653061
0.14415306	0.013061225
0.14415306	0.013469388
0.14415306	0.013877551
0.14415306	0.014285714
0.14415306	0.014693878
0.14415306	0.01510204
0.14415306	0.015510203
0.14415306	0.015918367
0.14415306	0.01632653
0.14415306	0.016734693
0.14415306	0.017142856
0.14415306	0.01755102
0.14415306	0.017959183
0.14415306	0.018367346
0.14415306	0.01877551
0.14415306	0.019183673
0.14415306	0.019591836
0.14415306	0.02
0.14485715	0.0
0.14485715	0.00040816324
0.14485715	0.0008163265
0.14485715	0.0012244898
0.14485715	0.001632653
0.14485715	0.0020408162
0.14485715	0.0024489795
0.14485715	0.0028571426
0.14485715	0.003265306
0.14485715	0.0036734694
0.14485715	0.0040816325
0.14485715	0.004489796
0.14485715	0.004897959
0.14485715	0.0053061224
0.14485715	0.005714285
0.14485715	0.006122449
0.14485715	0.006530612
0.14485715	0.006938775
0.14485715	0.007346939
0.14485715	0.0077551017
0.14485715	0.008163265
0.14485715	0.008571428
0.14485715	0.008979592
0.14485715	0.009387755
0.14485715	0.009795918
0.14485715	0.010204081
0.14485715	0.010612245
0.14485715	0.011020407
0.14485715	0.01142857
0.14485715	0.011836735
0.14485715	0.012244898
0.14485715	0.012653061
0.14485715	0.013061225
0.14485715	0.013469388
0.14485715	0.013877551
0.14485715	0.014285714
0.14485715	0.014693878
0.14485715	0.01510204
0.14485715	0.015510203
0.14485715	0.015918367
0.14485715	0.01632653
0.14485715	0.016734693
0.14485715	0.017142856
0.14485715	0.01755102
0.14485715	0.017959183
0.14485715	0.018367346
0.14485715	0.01877551
0.14485715	0.019183673
0.14485715	0.019591836
0.14485715	0.02
0.14556123	0.0
0.14556123	0.00040816324
0.14556123	0.0008163265
0.14556123	0.0012244898
0.14556123	0.001632653
0.14556123	0.0020408162
0.14556123	0.0024489795
0.14556123	0.0028571426
0.14556123	0.003265306
0.14556123	0.0036734694
0.14556123	0.0040816325
0.14556123	0.004489796
0.14556123	0.004897959
0.14556123	0.0053061224
0.14556123	0.005714285
0.14556123	0.006122449
0.14556123	0.006530612
0.14556123	0.006938775
0.14556123	0.007346939
0.14556123	0.0077551017
0.14556123	0.008163265
0.14556123	0.008571428
0.14556123	0.008979592
0.14556123	0.009387755
0.14556123	0.009795918
0.14556123	0.010204081
0.14556123	0.010612245
0.14556123	0.011020407
0.14556123	0.01142857
0.14556123	0.011836735
0.14556123	0.012244898
0.14556123	0.012653061
0.14556123	0.013061225
0.14556123	0.013469388
0.14556123	0.013877551
0.14556123	0.014285714
0.14556123	0.014693878
0.14556123	0.01510204
0.14556123	0.015510203
0.14556123	0.015918367
0.14556123	0.01632653
0.14556123	0.016734693
0.14556123	0.017142856
0.14556123	0.01755102
0.14556123	0.017959183
0.14556123	0.018367346
0.14556123	0.01877551
0.14556123	0.019183673
0.14556123	0.019591836
0.14556123	0.02
0.14626531	0.0
0.14626531	0.00040816324
0.14626531	0.0008163265
0.14626531	0.0012244898
0.14626531	0.001632653
0.14626531	0.0020408162
0.14626531	0.0024489795
0.14626531	0.0028571426
0.14626531	0.003265306
0.14626531	0.0036734694
0.14626531	0.0040816325
0.14626531	0.004489796
0.14626531	0.004897959
0.14626531	0.0053061224
0.14626531	0.005714285
0.14626531	0.006122449
0.14626531	0.006530612
0.14626531	0.006938775
0.14626531	0.007346939
0.14626531	0.0077551017
0.14626531	0.008163265
0.14626531	0.008571428
0.14626531	0.008979592
0.14626531	0.009387755
0.14626531	0.009795918
0.14626531	0.010204081
0.14626531	0.010612245
0.14626531	0.011020407
0.14626531	0.01142857
0.14626531	0.011836735
0.14626531	0.012244898
0.14626531	0.012653061
0.14626531	0.013061225
0.14626531	0.013469388
0.14626531	0.013877551
0.14626531	0.014285714
0.14626531	0.014693878
0.14626531	0.01510204
0.14626531	0.015510203
0.14626531	0.015918367
0.14626531	0.01632653
0.14626531	0.016734693
0.14626531	0.017142856
0.14626531	0.01755102
0.14626531	0.017959183
0.14626531	0.018367346
0.14626531	0.01877551
0.14626531	0.019183673
0.14626531	0.019591836
0.14626531	0.02
0.1469694	0.0
0.1469694	0.00040816324
0.1469694	0.0008163265
0.1469694	0.0012244898
0.1469694	0.001632653
0.1469694	0.0020408162
0.1469694	0.0024489795
0.1469694	0.0028571426
0.1469694	0.003265306
0.1469694	0.0036734694
0.1469694	0.0040816325
0.1469694	0.004489796
0.1469694	0.004897959
0.1469694	0.0053061224
0.1469694	0.005714285
0.1469694	0.006122449
0.1469694	0.006530612
0.1469694	0.006938775
0.1469694	0.007346939
0.1469694	0.0077551017
0.1469694	0.008163265
0.1469694	0.008571428
0.1469694	0.008979592
0.1469694	0.009387755
0.1469694	0.009795918
0.1469694	0.010204081
0.1469694	0.010612245
0.1469694	0.011020407
0.1469694	0.01142857
0.1469694	0.011836735
0.1469694	0.012244898
0.1469694	0.012653061
0.1469694	0.013061225
0.1469694	0.013469388
0.1469694	0.013877551
0.1469694	0.014285714
0.1469694	0.014693878
0.1469694	0.01510204
0.1469694	0.015510203
0.1469694	0.015918367
0.1469694	0.01632653
0.1469694	0.016734693
0.1469694	0.017142856
0.1469694	0.01755102
0.1469694	0.017959183
0.1469694	0.018367346
0.1469694	0.01877551
0.1469694	0.019183673
0.1469694	0.019591836
0.1469694	0.02
0.14767347	0.0
0.14767347	0.00040816324
0.14767347	0.0008163265
0.14767347	0.0012244898
0.14767347	0.001632653
0.14767347	0.0020408162
0.14767347	0.0024489795
0.14767347	0.0028571426
0.14767347	0.003265306
0.14767347	0.0036734694
0.14767347	0.0040816325
0.14767347	0.004489796
0.14767347	0.004897959
0.14767347	0.0053061224
0.14767347	0.005714285
0.14767347	0.006122449
0.14767347	0.006530612
0.14767347	0.006938775
0.14767347	0.007346939
0.14767347	0.0077551017
0.14767347	0.008163265
0.14767347	0.008571428
0.14767347	0.008979592
0.14767347	0.009387755
0.14767347	0.009795918
0.14767347	0.010204081
0.14767347	0.010612245
0.14767347	0.011020407
0.14767347	0.01142857
0.14767347	0.011836735
0.14767347	0.012244898
0.14767347	0.012653061
0.14767347	0.013061225
0.14767347	0.013469388
0.14767347	0.013877551
0.14767347	0.014285714
0.14767347	0.014693878
0.14767347	0.01510204
0.14767347	0.015510203
0.14767347	0.015918367
0.14767347	0.01632653
0.14767347	0.016734693
0.14767347	0.017142856
0.14767347	0.01755102
0.14767347	0.017959183
0.14767347	0.018367346
0.14767347	0.01877551
0.14767347	0.019183673
0.14767347	0.019591836
0.14767347	0.02
0.14837755	0.0
0.14837755	0.00040816324
0.14837755	0.0008163265
0.14837755	0.0012244898
0.14837755	0.001632653
0.14837755	0.0020408162
0.14837755	0.0024489795
0.14837755	0.0028571426
0.14837755	0.003265306
0.14837755	0.0036734694
0.14837755	0.0040816325
0.14837755	0.004489796
0.14837755	0.004897959
0.14837755	0.0053061224
0.14837755	0.005714285
0.14837755	0.006122449
0.14837755	0.006530612
0.14837755	0.006938775
0.14837755	0.007346939
0.14837755	0.0077551017
0.14837755	0.008163265
0.14837755	0.008571428
0.14837755	0.008979592
0.14837755	0.009387755
0.14837755	0.009795918
0.14837755	0.010204081
0.14837755	0.010612245
0.14837755	0.011020407
0.14837755	0.01142857
0.14837755	0.011836735
0.14837755	0.012244898
0.14837755	0.012653061
